customer_id,age,gender,country,device,traffic_source,session_duration,pages_viewed,previous_orders,experiment_group,purchase_prob,purchased
1,48,Female,USA,Desktop,Organic,9.61,17,0,B,0.439,False
2,23,Female,India,Mobile,Ads,16.56,28,1,A,0.536,True
3,62,Male,India,Mobile,Ads,7.9,18,1,A,0.399,True
4,61,Female,Australia,Desktop,Ads,10.34,19,2,A,0.458,False
5,61,Female,UK,Desktop,Ads,11.43,27,0,A,0.449,True
6,45,Male,India,Mobile,Organic,10.91,25,5,B,0.642,True
7,62,Male,UK,Mobile,Organic,11.61,21,2,A,0.481,True
8,63,Male,India,Mobile,Email,14.31,26,4,A,0.593,True
9,64,Male,Germany,Mobile,Organic,9.91,24,3,B,0.567,False
10,56,Male,India,Mobile,Email,11.91,26,2,A,0.509,True
11,36,Female,UK,Other,Social,10.87,20,4,A,0.529,False
12,19,Female,India,Mobile,Social,15.69,27,2,B,0.61,False
13,59,Female,Germany,Mobile,Organic,9.89,18,0,A,0.389,True
14,50,Male,Australia,Desktop,Ads,11.42,17,3,B,0.547,False
15,60,Male,Germany,Mobile,Organic,9.33,17,2,B,0.496,True
16,21,Female,Germany,Mobile,Organic,11.15,26,1,B,0.529,False
17,24,Female,Germany,Mobile,Email,13.97,26,1,A,0.5,True
18,48,Female,India,Mobile,Ads,12.11,24,2,A,0.501,False
19,33,Male,India,Mobile,Ads,10.81,23,1,B,0.511,True
20,64,Male,USA,Mobile,Social,12.28,24,0,B,0.501,False
21,63,Female,Australia,Mobile,Ads,7.69,13,5,B,0.55,True
22,43,Male,Canada,Desktop,Email,9.55,21,0,A,0.401,True
23,52,Female,India,Mobile,Ads,9.01,18,3,B,0.528,True
24,53,Male,Canada,Mobile,Organic,6.51,14,4,A,0.455,True
25,36,Male,Germany,Desktop,Email,8.58,16,0,A,0.366,False
26,46,Male,India,Mobile,Social,12.17,25,2,A,0.507,True
27,57,Male,UK,Mobile,Organic,10.39,19,7,A,0.609,False
28,53,Female,USA,Desktop,Organic,11.51,28,0,B,0.513,True
29,60,Male,Australia,Mobile,Email,10.09,16,2,A,0.441,False
30,47,Female,UK,Mobile,Organic,8.97,19,4,B,0.563,False
31,30,Male,India,Mobile,Ads,12.93,21,2,B,0.552,True
32,52,Female,UK,Mobile,Ads,10.08,18,2,A,0.451,True
33,58,Female,Canada,Mobile,Email,10.87,26,4,B,0.617,False
34,43,Female,UK,Mobile,Ads,10.25,17,1,B,0.476,True
35,47,Male,Germany,Desktop,Organic,7.15,14,1,A,0.371,False
36,26,Female,USA,Mobile,Organic,17.25,33,3,A,0.627,True
37,27,Female,USA,Other,Email,18.02,37,1,A,0.595,True
38,43,Female,UK,Other,Ads,7.0,17,5,A,0.505,True
39,24,Male,India,Mobile,Email,13.83,22,3,A,0.538,True
40,45,Female,Australia,Desktop,Ads,11.14,24,1,B,0.519,True
41,42,Female,India,Mobile,Organic,14.48,29,0,A,0.49,True
42,22,Female,India,Mobile,Organic,12.46,26,3,A,0.545,False
43,62,Female,India,Desktop,Email,11.37,27,2,A,0.509,False
44,51,Female,India,Mobile,Social,9.71,23,1,A,0.442,False
45,64,Male,India,Mobile,Email,10.47,16,3,B,0.533,True
46,26,Female,India,Mobile,Email,14.78,24,2,A,0.528,True
47,62,Female,Canada,Mobile,Organic,11.67,26,1,A,0.477,True
48,39,Female,UK,Mobile,Organic,8.92,17,0,A,0.374,False
49,58,Female,Australia,Mobile,Email,13.38,29,1,B,0.567,False
50,53,Female,USA,Mobile,Ads,6.89,13,1,B,0.422,False
51,36,Female,Australia,Mobile,Organic,10.0,20,0,A,0.4,True
52,47,Female,Germany,Other,Organic,10.38,25,2,B,0.547,True
53,22,Male,India,Mobile,Ads,10.04,21,2,A,0.465,False
54,40,Male,India,Mobile,Organic,12.43,22,4,B,0.612,True
55,35,Male,India,Desktop,Social,13.73,32,3,A,0.587,False
56,59,Female,Australia,Desktop,Email,12.35,26,3,A,0.543,False
57,38,Female,India,Mobile,Organic,7.46,13,2,B,0.458,False
58,20,Female,India,Mobile,Organic,15.28,31,3,A,0.598,True
59,57,Male,India,Mobile,Organic,10.56,17,1,A,0.421,False
60,33,Male,Canada,Desktop,Organic,11.14,23,0,B,0.484,False
61,41,Female,India,Mobile,Ads,10.56,26,3,A,0.526,False
62,59,Female,UK,Mobile,Organic,9.63,16,1,B,0.464,False
63,47,Male,UK,Desktop,Email,9.46,22,0,A,0.405,False
64,60,Male,India,Mobile,Ads,13.86,32,1,B,0.587,True
65,29,Female,India,Mobile,Organic,16.1,36,0,B,0.599,True
66,18,Male,India,Mobile,Social,14.77,33,1,B,0.601,True
67,28,Male,UK,Mobile,Ads,13.14,27,4,A,0.586,True
68,26,Male,Germany,Mobile,Social,15.49,29,3,A,0.59,False
69,50,Female,Canada,Mobile,Ads,14.35,28,2,A,0.543,False
70,50,Male,USA,Desktop,Social,7.86,18,1,B,0.457,False
71,35,Female,UK,Other,Ads,7.6,19,2,B,0.489,False
72,46,Female,India,Mobile,Organic,9.65,15,2,B,0.49,True
73,53,Female,Australia,Desktop,Ads,13.78,25,3,B,0.611,False
74,24,Male,India,Mobile,Social,16.4,32,2,A,0.584,True
75,64,Male,Germany,Mobile,Ads,8.18,17,0,A,0.367,True
76,28,Female,USA,Desktop,Organic,14.53,25,4,A,0.59,False
77,20,Male,India,Mobile,Ads,13.87,26,0,A,0.469,False
78,61,Female,USA,Mobile,Email,11.05,21,1,A,0.445,False
79,52,Female,Germany,Mobile,Organic,7.05,12,1,B,0.418,False
80,37,Male,USA,Desktop,Ads,11.5,27,2,B,0.568,False
81,63,Female,India,Mobile,Ads,11.58,26,0,B,0.504,True
82,49,Female,Germany,Mobile,Social,8.61,22,4,A,0.516,False
83,40,Male,UK,Desktop,Ads,10.09,24,2,B,0.539,False
84,29,Male,USA,Mobile,Organic,15.24,31,3,A,0.597,False
85,51,Female,USA,Mobile,Email,12.46,29,1,B,0.558,False
86,27,Male,USA,Desktop,Organic,15.2,27,3,A,0.577,False
87,28,Female,USA,Desktop,Ads,16.03,25,5,A,0.635,True
88,36,Female,USA,Mobile,Email,8.43,15,0,B,0.417,True
89,56,Female,Australia,Mobile,Organic,11.07,18,2,A,0.461,False
90,41,Male,USA,Desktop,Email,8.72,15,1,B,0.45,True
91,37,Female,India,Mobile,Organic,9.3,20,1,B,0.481,False
92,62,Female,Canada,Mobile,Organic,9.45,17,2,B,0.498,True
93,63,Male,Germany,Desktop,Organic,8.06,12,0,B,0.399,False
94,23,Male,India,Mobile,Organic,16.29,30,2,B,0.631,True
95,61,Male,Canada,Mobile,Ads,9.93,23,0,B,0.472,False
96,38,Female,Germany,Mobile,Ads,8.09,16,5,B,0.569,False
97,36,Male,Canada,Mobile,Ads,9.87,23,3,B,0.562,True
98,20,Female,UK,Mobile,Ads,13.79,25,2,B,0.581,False
99,34,Female,India,Mobile,Organic,14.22,29,6,B,0.725,True
100,32,Male,USA,Mobile,Social,10.32,18,1,A,0.423,False
101,51,Male,USA,Desktop,Email,12.8,29,0,A,0.473,False
102,48,Female,Germany,Desktop,Organic,11.39,27,3,A,0.539,True
103,61,Male,India,Mobile,Email,11.59,23,2,A,0.491,False
104,55,Male,Australia,Desktop,Email,8.99,16,1,B,0.458,False
105,18,Male,Australia,Mobile,Social,14.7,23,1,A,0.492,True
106,32,Female,Germany,Mobile,Organic,13.51,27,2,A,0.53,True
107,40,Female,Canada,Desktop,Organic,11.66,24,2,B,0.555,True
108,63,Male,Canada,Desktop,Organic,9.88,20,0,B,0.457,True
109,60,Male,India,Mobile,Ads,1.41,2,3,B,0.372,True
110,23,Female,Canada,Desktop,Social,12.85,21,4,A,0.554,True
111,34,Male,India,Mobile,Ads,11.48,20,2,B,0.533,False
112,53,Male,UK,Desktop,Ads,9.31,15,2,A,0.428,False
