user_id,age,gender,country,device,session_duration,pages_viewed,previous_orders,traffic_source,experiment_group
1,61,Female,India,Mobile,3.45,5,1,Organic,A
2,38,Male,India,Mobile,1.04,2,4,Social,B
3,51,Female,India,Tablet,1.67,4,2,Email,B
4,24,Male,USA,Mobile,2.82,4,1,Organic,A
5,27,Male,UK,Tablet,5.0,2,4,Organic,B
6,64,Female,USA,Tablet,2.43,8,0,Ads,B
7,33,Female,Brazil,Desktop,3.46,2,1,Organic,B
8,51,Male,India,Tablet,1.42,2,0,Ads,B
9,45,Female,India,Desktop,1.75,3,2,Email,A
10,51,Male,India,Mobile,2.38,3,3,Social,A
11,24,Female,USA,Mobile,0.98,2,2,Organic,A
12,26,Female,USA,Mobile,3.67,1,4,Organic,A
13,43,Male,India,Mobile,4.37,5,0,Organic,A
14,35,Female,UK,Desktop,3.9,3,2,Organic,B
15,27,Female,India,Mobile,1.2,2,4,Email,B
16,57,Female,India,Mobile,2.56,4,2,Email,B
17,46,Male,UK,Mobile,1.77,3,3,Organic,B
18,31,Female,India,Desktop,1.97,7,1,Ads,B
19,31,Female,USA,Mobile,0.71,2,1,Organic,B
20,55,Male,India,Tablet,3.85,2,2,Organic,A
21,25,Male,India,Tablet,4.94,3,0,Email,B
22,27,Male,India,Mobile,0.79,3,1,Organic,A
23,46,Male,USA,Mobile,1.53,2,4,Ads,A
24,36,Male,USA,Mobile,3.24,4,2,Organic,B
25,56,Female,USA,Desktop,2.54,5,2,Organic,B
26,53,Female,India,Mobile,2.67,2,2,Organic,B
27,35,Female,USA,Desktop,2.06,4,1,Social,A
28,48,Female,India,Mobile,3.66,2,1,Ads,B
29,61,Male,USA,Mobile,1.44,5,2,Organic,A
30,31,Female,UK,Tablet,3.9,5,4,Email,A
31,62,Male,USA,Mobile,2.71,3,1,Ads,A
32,57,Female,USA,Tablet,2.58,1,4,Organic,B
33,41,Female,India,Other,6.42,1,1,Social,A
34,64,Male,USA,Desktop,2.82,3,1,Organic,A
35,46,Male,USA,Desktop,2.74,3,4,Organic,A
