user_id,age,gender,country,device,session_duration,pages_viewed,previous_orders,traffic_source,experiment_group,session_norm,pages_norm,orders_norm,purchase_prob
1,61,Female,India,Mobile,3.45,5,1,Organic,A,0.18536887786732797,0.2,0.1111111111111111,0.2259626644623545
2,38,Male,India,Mobile,1.04,2,4,Social,B,0.03595784252944824,0.05,0.4444444444444444,0.3252471240614452
3,51,Female,India,Tablet,1.67,4,2,Email,B,0.0750154990700558,0.15,0.2222222222222222,0.28028087759178894
4,24,Male,USA,Mobile,2.82,4,1,Organic,A,0.1463112213267204,0.15,0.1111111111111111,0.20565113315423297
5,27,Male,UK,Tablet,5.0,2,4,Organic,B,0.2814631122132672,0.05,0.4444444444444444,0.374348177998209
6,64,Female,USA,Tablet,2.43,8,0,Ads,B,0.12213267203967763,0.35,0.0,0.2619265344079355
7,33,Female,Brazil,Desktop,3.46,2,1,Organic,B,0.18598884066955984,0.05,0.1111111111111111,0.2385866570228009
8,51,Male,India,Tablet,1.42,2,0,Ads,B,0.059516429014259145,0.05,0.0,0.17440328580285183
9,45,Female,India,Desktop,1.75,3,2,Email,A,0.07997520148791074,0.1,0.2222222222222222,0.21877281807535992
10,51,Male,India,Mobile,2.38,3,3,Social,A,0.11903285802851829,0.1,0.3333333333333333,0.2654732382723703
11,24,Female,USA,Mobile,0.98,2,2,Organic,A,0.032238065716057036,0.05,0.2222222222222222,0.19672539092098917
12,26,Female,USA,Mobile,3.67,1,4,Organic,A,0.19900805951642903,0.0,0.4444444444444444,0.29535716745884133
13,43,Male,India,Mobile,4.37,5,0,Organic,A,0.24240545567265967,0.2,0.0,0.19848109113453194
14,35,Female,UK,Desktop,3.9,3,2,Organic,B,0.21326720396776194,0.1,0.2222222222222222,0.29543121857133015
15,27,Female,India,Mobile,1.2,2,4,Email,B,0.045877247365158094,0.05,0.4444444444444444,0.32723100502858715
16,57,Female,India,Mobile,2.56,4,2,Email,B,0.1301921884686919,0.15,0.2222222222222222,0.29131621547151615
17,46,Male,UK,Mobile,1.77,3,3,Organic,B,0.08121512709237447,0.1,0.3333333333333333,0.3079096920851415
18,31,Female,India,Desktop,1.97,7,1,Ads,B,0.09361438313701179,0.3,0.1111111111111111,0.28261176551629125
19,31,Female,USA,Mobile,0.71,2,1,Organic,B,0.01549907005579665,0.05,0.1111111111111111,0.20448870290004822
20,55,Male,India,Tablet,3.85,2,2,Organic,A,0.2101673899566026,0.05,0.2222222222222222,0.23231125576909833
21,25,Male,India,Tablet,4.94,3,0,Email,B,0.27774333539987606,0.1,0.0,0.23054866707997523
22,27,Male,India,Mobile,0.79,3,1,Organic,A,0.020458772473651583,0.1,0.1111111111111111,0.1679806433836192
23,46,Male,USA,Mobile,1.53,2,4,Ads,A,0.06633601983880968,0.05,0.4444444444444444,0.2813227595233175
24,36,Male,USA,Mobile,3.24,4,2,Organic,B,0.1723496590204588,0.15,0.2222222222222222,0.2997477095818695
25,56,Female,USA,Desktop,2.54,5,2,Organic,B,0.12895226286422815,0.2,0.2222222222222222,0.3035682303506234
26,53,Female,India,Mobile,2.67,2,2,Organic,B,0.1370117792932424,0.05,0.2222222222222222,0.26768013363642623
27,35,Female,USA,Desktop,2.06,4,1,Social,A,0.09919404835709858,0.15,0.1111111111111111,0.1962276985603086
28,48,Female,India,Mobile,3.66,2,1,Ads,B,0.19838809671419716,0.05,0.1111111111111111,0.24106650823172837
29,61,Male,USA,Mobile,1.44,5,2,Organic,A,0.06075635461872288,0.2,0.2222222222222222,0.23992904870152237
30,31,Female,UK,Tablet,3.9,5,4,Email,A,0.21326720396776194,0.2,0.4444444444444444,0.34820899634910796
31,62,Male,USA,Mobile,2.71,3,1,Ads,A,0.13949163050216987,0.1,0.1111111111111111,0.19178721498932286
